variable,value,unit,year,source_id,notes
fort_hills_suncor_ownership,100,percent,2023,S2,"Suncor completed two acquisitions in 2023, increasing ownership of Fort Hills mining and extraction from 54.11% to 100%."
east_tank_farm_interest,51,percent,2025,S2,"Suncor operates the East Tank Farm Development and holds a 51% interest."
fort_hills_utilization_target_achieved,90,percent of nameplate capacity,2025,S2,"Completion of the three-year mine improvement plan enabled Fort Hills to reach its 90% utilization target in 2025."
fort_hills_mine_improvement_plan_completed,1,indicator,2025,S2,"The three-year mine improvement plan at Fort Hills was completed in 2025."
fort_hills_energy_limited_partnership,Fort Hills Energy Limited Partnership,text,2025,S2,"Material wholly owned subsidiary that holds Suncor's Fort Hills operations assets."
suncor_energy_oil_sands_limited_partnership,Suncor Energy Oil Sands Limited Partnership,text,2025,S2,"Material wholly owned subsidiary that holds most of Suncor's Oil Sands operations assets."
