scenario,avg_margin_cad_bbl,min_margin_cad_bbl,max_margin_cad_bbl,avg_investment_score,managerial_interpretation
Base case,32.313396428571416,29.380063095238086,34.530063095238084,60.44770918367345,Continue productivity-focused Fort Hills investment
Boom price / narrow differential,65.88848601503761,62.95515268170428,68.10515268170428,100.0,Continue productivity-focused Fort Hills investment
High price / moderate differential,47.274567424242434,44.3412340909091,49.491234090909096,81.82081060606062,Continue productivity-focused Fort Hills investment
Low price / wide differential,11.438543333333337,8.505210000000005,13.655210000000004,30.626490476190483,Maintain selective/discipline-focused investment
